message,attributes,tags,timestamp
> npx tsx server.ts,"{""level"":""info""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:53.579445361Z
,"{""level"":""info""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:53.579448923Z
npm warn config production Use `--omit=dev` instead.,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:53.642487365Z
[dotenv@17.3.1] injecting env (0) from .env -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' },"{""level"":""info""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198142227Z
file:///app/node_modules/stripe/esm/stripe.core.js:155,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198148291Z
                throw new Error('Neither apiKey nor config.authenticator provided');,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198151617Z
                      ^,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198252293Z
,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198260368Z
Error: Neither apiKey nor config.authenticator provided,"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198265940Z
    at Stripe._setAuthenticator (file:///app/node_modules/stripe/esm/stripe.core.js:155:23),"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198270167Z
    at new Stripe (file:///app/node_modules/stripe/esm/stripe.core.js:93:14),"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198273839Z
    at <anonymous> (/app/server.ts:100:16),"{""level"":""error""}","{""project"":""81f33df7-7016-4a1a-82e7-90ae58d6cac2"",""environment"":""479e8993-0a96-4a7a-9357-ccb622ff8448"",""service"":""9b028857-9917-4b27-9f4b-a1b10310c931"",""deployment"":""a2be3997-4500-45fb-a71e-0ddb61b71eb3"",""replica"":""769a137d-e6f3-4c5e-9862-edbc6b497a5d""}",2026-02-23T12:55:54.198277945Z
